Date	0-9	10-19	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90+
2021-04-21	5339	7724	11697	11860	11176	11920	6148	2701	1530	355
2021-04-20	5330	7358	11254	11404	10692	11422	5815	2585	1479	344
2021-04-19	5162	7109	10934	11084	10375	11100	5740	2507	1430	336
2021-04-18	5075	6916	10634	10825	10131	10870	5614	2449	1397	329
2021-04-17	5010	6810	10452	10665	9956	10724	5527	2418	1374	321
2021-04-16	4856	6541	10121	10367	9657	10400	5384	2335	1339	318
2021-04-15	4645	6124	9507	9782	9134	9831	5073	2196	1270	308
2021-04-14	4435	5761	9016	9230	8641	9339	4840	2098	1220	297
2021-04-13	4272	5474	8585	8795	8233	8919	4600	1997	1185	290
2021-04-12	4125	5203	8185	8391	7847	8521	4401	1896	1122	280
2021-04-11	4005	4991	7867	8071	7570	8252	4259	1819	1087	276
2021-04-10	3925	4880	7670	7888	7397	8057	4153	1765	1060	269
2021-04-09	3800	4710	7339	7620	7099	7737	3986	1708	1028	264
2021-04-08	3618	4441	6884	7238	6665	7268	3762	1618	974	247
2021-04-07	3492	4237	6506	6853	6276	6859	3554	1543	944	240
2021-04-06	3356	4050	6200	6527	5999	6604	3385	1463	901	222
2021-04-05	3307	3982	6060	6403	5903	6490	3310	1426	883	218
2021-04-04	3280	3948	5988	6326	5847	6420	3264	1412	876	218
2021-04-03	3197	3826	5794	6153	5664	6215	3172	1364	848	214
2021-04-02	3121	3731	5625	6001	5532	6049	3104	1326	827	211
2021-04-01	2966	3523	5320	5715	5263	5730	2940	1258	780	199
2021-03-31	2802	3294	5007	5384	4930	5383	2754	1187	740	191
2021-03-30	2661	3120	4736	5065	4675	5086	2606	1110	705	182
2021-03-29	2541	2935	4497	4814	4440	4842	2479	1052	666	175
2021-03-28	2423	2778	4292	4592	4238	4628	2353	997	631	163
2021-03-27	2375	2715	4223	4519	4181	4548	2306	977	620	162
2021-03-26	2252	2559	4022	4339	3966	4313	2192	934	595	159
2021-03-25	2080	2382	3772	4053	3697	4017	2037	856	592	155
2021-03-24	1926	2217	3496	3751	3409	3727	1872	801	526	143
2021-03-23	1800	2074	3263	3527	3170	3483	1747	749	498	140
2021-03-22	1663	1942	3063	3289	3002	3275	1642	694	464	133
2021-03-21	1561	1843	2905	3122	2882	3112	1566	665	445	121
2021-03-20	1517	1798	2841	3043	2828	3013	1514	645	431	119
2021-03-19	1408	1699	2654	2871	2646	2850	1426	616	414	116
2021-03-18	1289	1572	2464	2659	2466	2661	1335	574	394	109

2021-02-11	66	141	212	223	243	262	126	53 34	10
2021-02-10	61	127	191	202	213	236	119	43 30	10
2021-02-09	56	117	178	206	206	244	127	50 45	17
